n,lam,beta,<H1>,<-err,\int_0^{beta} \dtau <H1(tau)H1>,<--std,\int_0^{beta} \dtau tau <H1(tau)H1>,<--std,\int_0^{beta/2} \dtau tau <H1(tau)H1>,<--std,rng,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time (s)
2,-0.8065326633165829,5.0,0.1869,0.00219207224,1.56976249,0.0174190739,3.92440621,0.0435476848,0.93361771,0.0104410716,1370102282,20000000,1000000,10,1,0,0.23156,4,13.68
2,-0.7914572864321608,5.0,0.16826,0.00179319598,1.39579195,0.0142574584,3.48947988,0.035643646,0.827013967,0.00860592993,1370102282,20000000,1000000,10,1,0,0.22486,4,13.69
2,-0.7763819095477387,5.0,0.15116,0.00195332525,1.23984192,0.0151457501,3.0996048,0.0378643752,0.731452796,0.00909114416,1370102282,20000000,1000000,10,1,0,0.22036,4,13.59
2,-0.7613065326633166,5.0,0.1343,0.00175692548,1.08926527,0.0134307857,2.72316317,0.0335769642,0.639656002,0.00800491308,1370102282,20000000,1000000,10,1,0,0.21122,4,13.68
2,-0.7462311557788945,5.0,0.12286,0.0016904176,0.977728887,0.0125682343,2.44436309,0.031415971,0.571601078,0.00741597289,1370102282,20000000,1000000,10,1,0,0.20516,6,13.51
2,-0.7311557788944724,5.0,0.1074,0.00159899567,0.842067405,0.0118381987,2.10514806,0.0295951984,0.488960585,0.00699397888,1370102282,20000000,1000000,10,1,0,0.19928,6,13.52
2,-0.7160804020100503,5.0,0.09872,0.00156205199,0.764172975,0.011644818,1.91043244,0.0291120451,0.442485253,0.00691605831,1370102282,20000000,1000000,10,1,0,0.19088,6,13.72
2,-0.7010050251256281,5.0,0.08562,0.00151633091,0.653806164,0.0106237918,1.63451541,0.0265594794,0.376221931,0.00623897495,1370102282,20000000,1000000,10,1,0,0.1799,4,13.65
2,-0.6859296482412061,5.0,0.07622,0.00144984641,0.570546537,0.010015959,1.42636634,0.0250398974,0.326039335,0.00581328178,1370102282,20000000,1000000,10,1,0,0.17486,4,13.66
2,-0.670854271356784,5.0,0.06772,0.00141705277,0.504972658,0.00959538556,1.26237019,0.0239873635,0.287270907,0.0055623162,1370102282,20000000,1000000,10,1,0,0.16954,6,13.61
2,-0.6557788944723618,5.0,0.061,0.00128850338,0.441477056,0.0087784896,1.10369264,0.021946224,0.248886479,0.00515498622,1370102282,20000000,1000000,10,1,0,0.1663,6,13.61
2,-0.6407035175879398,5.0,0.05546,0.00119854061,0.395431465,0.00778762857,0.988543391,0.0194690212,0.221125089,0.00445303117,1370102282,20000000,1000000,10,1,0,0.1652,6,15.13
2,-0.6256281407035176,5.0,0.05202,0.00122592412,0.36249035,0.00814022983,0.90620537,0.0203495257,0.200682111,0.00472578781,1370102282,20000000,1000000,10,1,0,0.15926,6,14.96
