n,tau,lam,beta,H1,H1_std,corr,corr_std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,sign,sign_std,q,qmax,time
100,5.728643216080402,1.0,20.0,-0.931587438,0.00707940818,1.13200307,0.0106670973,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.05
100,5.8291457286432165,1.0,20.0,-0.931587438,0.00707940818,1.12707228,0.0106298003,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.05
100,5.9296482412060305,1.0,20.0,-0.931587438,0.00707940818,1.1223029,0.010593343,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.05
100,6.030150753768845,1.0,20.0,-0.931587438,0.00707940818,1.11769154,0.0105577633,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.04
100,6.130653266331659,1.0,20.0,-0.931587438,0.00707940818,1.1132349,0.0105230943,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.13
100,6.231155778894473,1.0,20.0,-0.931587438,0.00707940818,1.10892979,0.0104893654,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.12
100,6.331658291457287,1.0,20.0,-0.931587438,0.00707940818,1.10477314,0.0104566017,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.11
100,6.432160804020101,1.0,20.0,-0.931587438,0.00707940818,1.10076196,0.0104248243,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.21
100,6.532663316582915,1.0,20.0,-0.931587438,0.00707940818,1.09689338,0.0103940508,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.12
100,6.633165829145729,1.0,20.0,-0.931587438,0.00707940818,1.09316464,0.0103642949,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.12
100,6.733668341708543,1.0,20.0,-0.931587438,0.00707940818,1.08957307,0.0103355669,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.13
100,6.834170854271357,1.0,20.0,-0.931587438,0.00707940818,1.08611608,0.0103078739,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.14
100,6.934673366834171,1.0,20.0,-0.931587438,0.00707940818,1.0827912,0.0102812198,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.13
100,7.035175879396985,1.0,20.0,-0.931587438,0.00707940818,1.07959603,0.0102556058,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.43
100,7.135678391959799,1.0,20.0,-0.931587438,0.00707940818,1.0765283,0.0102310301,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.31
100,7.236180904522613,1.0,20.0,-0.931587438,0.00707940818,1.07358578,0.0102074885,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.73
100,7.336683417085427,1.0,20.0,-0.931587438,0.00707940818,1.07076638,0.0101849747,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.32
100,7.437185929648241,1.0,20.0,-0.931587438,0.00707940818,1.06806805,0.0101634799,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.29
100,7.5376884422110555,1.0,20.0,-0.931587438,0.00707940818,1.06548885,0.0101429938,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.34
100,7.63819095477387,1.0,20.0,-0.931587438,0.00707940818,1.06302694,0.0101235043,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.33
100,7.738693467336684,1.0,20.0,-0.931587438,0.00707940818,1.06068054,0.0101049977,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.37
100,7.839195979899498,1.0,20.0,-0.931587438,0.00707940818,1.05844796,0.0100874591,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.35
100,7.939698492462312,1.0,20.0,-0.931587438,0.00707940818,1.05632758,0.0100708727,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.35
100,8.040201005025127,1.0,20.0,-0.931587438,0.00707940818,1.05431788,0.0100552218,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.38
100,8.14070351758794,1.0,20.0,-0.931587438,0.00707940818,1.05241741,0.0100404888,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.36
100,8.241206030150755,1.0,20.0,-0.931587438,0.00707940818,1.0506248,0.010026656,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.35
100,8.341708542713569,1.0,20.0,-0.931587438,0.00707940818,1.04893874,0.0100137052,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.35
100,8.442211055276383,1.0,20.0,-0.931587438,0.00707940818,1.04735804,0.0100016183,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.35
100,8.542713567839197,1.0,20.0,-0.931587438,0.00707940818,1.04588154,0.00999037707,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.47
100,8.643216080402011,1.0,20.0,-0.931587438,0.00707940818,1.04450817,0.00997996377,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.43
100,8.743718592964825,1.0,20.0,-0.931587438,0.00707940818,1.04323695,0.00997036096,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.32
100,8.84422110552764,1.0,20.0,-0.931587438,0.00707940818,1.04206695,0.00996155182,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.43
100,8.944723618090453,1.0,20.0,-0.931587438,0.00707940818,1.04099734,0.00995352027,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.57
100,9.045226130653267,1.0,20.0,-0.931587438,0.00707940818,1.04002733,0.00994625104,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.49
100,9.145728643216081,1.0,20.0,-0.931587438,0.00707940818,1.03915622,0.0099397299,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.35
100,9.246231155778895,1.0,20.0,-0.931587438,0.00707940818,1.03838338,0.00993394369,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.39
100,9.34673366834171,1.0,20.0,-0.931587438,0.00707940818,1.03770827,0.00992888046,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.56
100,9.447236180904524,1.0,20.0,-0.931587438,0.00707940818,1.03713038,0.00992452956,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.37
100,9.547738693467338,1.0,20.0,-0.931587438,0.00707940818,1.0366493,0.0099208817,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.58
100,9.648241206030152,1.0,20.0,-0.931587438,0.00707940818,1.03626468,0.00991792907,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.36
100,9.748743718592966,1.0,20.0,-0.931587438,0.00707940818,1.03597625,0.00991566535,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.31
100,9.84924623115578,1.0,20.0,-0.931587438,0.00707940818,1.0357838,0.00991408577,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,27.35
100,9.949748743718594,1.0,20.0,-0.931587438,0.00707940818,1.03568718,0.00991318717,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.46
100,10.050251256281408,1.0,20.0,-0.931587438,0.00707940818,1.03568635,0.009912968,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.36
