n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
100,-0.7311557788944724,20.0,0.0698095284,0.004791241,0.590786662,0.043170652,5.90731458,0.431408637,0.710948447,0.0628888199,3026438146,None,59,100000,1000000,10,0.99998,2e-05,0.97271,6,19.62
100,-0.7160804020100503,20.0,0.0540639383,0.00382191534,0.425998711,0.0313915776,4.25772006,0.313704524,0.465088406,0.0416608702,3026438146,None,59,100000,1000000,10,0.99998,2e-05,0.76444,6,16.63
100,-0.7010050251256281,20.0,0.0575130527,0.00450188052,0.448571602,0.0391485981,4.48484273,0.39106674,0.514667731,0.0602533701,3026438146,None,59,100000,1000000,10,0.9996,0.0004,0.87831,8,20.23
100,-0.6859296482412061,20.0,0.0551464798,0.0044937432,0.429708474,0.039314514,4.29870666,0.393887527,0.513268976,0.0619774287,3026438146,None,59,100000,1000000,10,0.99958,0.00042,0.96594,8,19
100,-0.670854271356784,20.0,0.0433555533,0.00360650014,0.316593401,0.0281671148,3.16770022,0.281772649,0.338897579,0.0391213977,3026438146,None,59,100000,1000000,10,1,0,0.80668,6,13.87
100,-0.6557788944723618,20.0,0.0467061097,0.00410148331,0.338428482,0.0326964753,3.38227305,0.326736492,0.379238344,0.0484080989,3026438146,None,59,100000,1000000,10,1,0,0.91282,10,17.14
100,-0.6407035175879398,20.0,0.0413473335,0.00360705274,0.280366138,0.0262151263,2.80320397,0.261966042,0.290943615,0.0350126384,3026438146,None,59,100000,1000000,10,1,0,0.82731,6,14.23
100,-0.6256281407035176,20.0,0.036768512,0.00343645918,0.240099685,0.0236061843,2.40036209,0.235736176,0.242228349,0.0311505943,3026438146,None,59,100000,1000000,10,1,0,0.74174,6,12.96
100,-0.6105527638190955,20.0,0.03486948,0.00334666292,0.225749473,0.0232418038,2.25646391,0.23210227,0.234505552,0.0324579463,3026438146,None,59,100000,1000000,10,1,0,0.78954,8,14.06
100,-0.5954773869346734,20.0,0.0321369788,0.00305392219,0.204661576,0.0203791691,2.04680167,0.203690255,0.200444673,0.0263653233,3026438146,None,59,100000,1000000,10,1,0,0.7998,6,14.45
100,-0.5804020100502513,20.0,0.0290079332,0.00295575255,0.177545819,0.0184064202,1.77530273,0.183616381,0.166946603,0.0228053062,3026438146,None,59,100000,1000000,10,0.99994,6e-05,0.75662,6,13.71
100,-0.5653266331658292,20.0,0.0261309088,0.00262082585,0.14895208,0.0150682448,1.49093909,0.150776434,0.125675156,0.0165677468,3026438146,None,59,100000,1000000,10,0.9999,0.0001,0.71114,6,12.61
100,-0.550251256281407,20.0,0.026311808,0.00258103061,0.149593043,0.0144902379,1.49743838,0.14490632,0.125525884,0.0158908344,3026438146,None,59,100000,1000000,10,0.99994,6e-05,0.72015,6,12.91
100,-0.535175879396985,20.0,0.0259970036,0.00236386674,0.139058545,0.0125222595,1.39123248,0.12524965,0.109654461,0.0130590391,3026438146,None,59,100000,1000000,10,0.99992,8e-05,0.72121,6,12.92
100,-0.5201005025125629,20.0,0.0247581013,0.00233318275,0.130722971,0.012390855,1.30803861,0.124059749,0.100583638,0.0131189302,3026438146,None,59,100000,1000000,10,0.99992,8e-05,0.70367,6,12.77
100,-0.5050251256281407,20.0,0.0234184167,0.00229221705,0.119942314,0.0123664,1.20201574,0.12398516,0.0935114371,0.0135249719,3026438146,None,59,100000,1000000,10,0.99994,6e-05,0.67774,6,12.32
100,-0.48994974874371855,20.0,0.0235813125,0.00229511853,0.119075358,0.0116232765,1.19140578,0.116096847,0.0865615131,0.0121444412,3026438146,None,59,100000,1000000,10,0.99992,8e-05,0.70697,6,13.12
100,-0.4748743718592965,20.0,0.0228978474,0.00212016475,0.112129386,0.010737271,1.11920308,0.106740225,0.082149988,0.0115292038,3026438146,None,59,100000,1000000,10,1,0,0.74195,6,13.53
100,-0.4597989949748744,20.0,0.0215179771,0.00208483345,0.102686677,0.0102105664,1.026573,0.101937315,0.0763577774,0.0112036161,3026438146,None,59,100000,1000000,10,1,0,0.72003,6,13.08
