n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
100,1.0,5.0,-0.714685774,0.0121871863,6.60748846,0.10694367,16.5170773,0.267309731,4.04821314,0.0671181091,1740697352,None,191,100000,1000000,10,0.9942,0.00132804171,0.37356,8,49.25
2,1.0,5.0,-0.711,0.00310770515,6.62441776,0.0284018404,16.5610845,0.0710034003,4.06381388,0.0176143685,3748383779,None,0,100000,1000000,10,1,0,0.32208,6,1.69
100,1.0,5.0,-0.676564776,0.0142440879,6.31036623,0.143822845,15.7726076,0.359215947,3.87678262,0.0895715128,3748383779,None,47,100000,1000000,10,0.9732,0.00495058311,0.52876,10,13.34
2,1.0,5.0,-0.71282,0.00307127356,6.62953912,0.0292361426,16.5738478,0.0730903564,4.06491917,0.0182762632,3085492750,None,0,100000,1000000,10,1,0,0.32572,6,1.71
100,1.0,5.0,-0.712729944,0.0114567181,6.64872368,0.113109163,16.6204394,0.282599165,4.0813477,0.0707726486,3085492750,None,24,100000,1000000,10,0.9973,0.000492555014,0.35838,7,5.47
2,1.0,5.0,-0.70954,0.00297059782,6.6090483,0.0281061942,16.5226208,0.0702654855,4.05397125,0.0175340728,2902098116,None,0,100000,1000000,10,1,0,0.32762,6,1.74
100,1.0,5.0,-0.691797292,0.016797678,6.46388494,0.169755842,16.1580254,0.424251076,3.96998129,0.105698063,2902098116,None,62,100000,1000000,10,0.97666,0.00450307543,0.52925,7,15.35
2,1.0,5.0,-0.71676,0.00319003368,6.67133489,0.0289847427,16.6783171,0.0724623368,4.09121251,0.0179292593,1493382549,None,0,100000,1000000,10,1,0,0.32802,6,1.71
100,1.0,5.0,0.0224797908,2.06919213,-74.9708993,78.6058255,-187.407506,196.59375,-48.6902833,49.9416755,1493382549,None,10,100000,1000000,10,0.00458,0.00425309885,19.18639,38,2705.18
2,1.0,5.0,-0.71106,0.00294185718,6.61352672,0.0266747539,16.5337566,0.0666908857,4.05469526,0.0164857072,3026438146,None,0,100000,1000000,10,1,0,0.32914,6,1.78
